Role,Translation Key,ALL ACTS,ACT 1,ACT 2
Concept Artist,SITE_CREDITS_ARTISTS_CONCEPT,Falcon; Pkdotts; Nicolás Romero; Sam the Salmon; Scan,Falcon; Pkdotts; Nicolás Romero; Sam the Salmon; Scan,Falcon; Pkdotts; Nicolás Romero
Promotional Artist,SITE_CREDITS_ARTISTS_PROMO,GeraFierro; pkgalaxia; Clipbrick; Jaccarias; Nicolás Romero; Retro64,Clipbrick; Nicolás Romero; Retro64,GeraFierro; pkgalaxia; Jaccarias; Nicolás Romero
Mother Encore Logo Designer,SITE_CREDITS_DESIGN_LOGO,Orange is Borange,Orange is Borange,
Map Designer,SITE_CREDITS_DESIGN_MAPS,benichi; MP64; Olavo “olavored” R.; Pkdotts; pkgalaxia; turnip; Clipbrick; Sam the Salmon,benichi; Pkdotts; Clipbrick; Sam the Salmon,MP64; Olavo “olavored” R.; Pkdotts; pkgalaxia; turnip; Sam the Salmon
Enemy Balancing,SITE_CREDITS_ENEMY_BALANCING,Pkdotts; Vicente,,Pkdotts; Vicente
Writer,SITE_CREDITS_WRITERS,Olavo “olavored” R.; Pkdotts; turnip; Jonathan Daegg123; Scan,Pkdotts; Scan,Olavo “olavored” R.; Pkdotts; turnip; Jonathan Daegg123
Musician,SITE_CREDITS_MUSICIANS,CopperTheJackal; McThrillington,CopperTheJackal; McThrillington,CopperTheJackal; McThrillington
Singer,SITE_CREDITS_SINGERS,CopperTheJackal; BismuthBloom; Bad Parking,CopperTheJackal; BismuthBloom,BismuthBloom; Bad Parking
Voice Actor,SITE_CREDITS_VOICE,,,
Bug Tester,SITE_CREDITS_TESTERS_BUGS,Artem “Inqurity” N.; benichi; Danionel; Olavo “olavored” R.; Pkdotts; Vicente; Bassya; Chiipan; Clipbrick; Scan; sludgeXP; SuperSquidoodle; Xylo; Okano,Artem “Inqurity” N.; benichi; Danionel; Olavo “olavored” R.; Pkdotts; Vicente; Bassya; Chiipan; Clipbrick; Scan; sludgeXP; SuperSquidoodle; Xylo; Okano,Artem “Inqurity” N.; Olavo “olavored” R.; Vicente
Playtester,SITE_CREDITS_TESTERS_PLAY,allison lobster; cosmic; Kodynoko; Mephist; MonkeyNess; Okano; SpaciousReality; Toasty.,,allison lobster; cosmic; Kodynoko; Mephist; MonkeyNess; Okano; SpaciousReality; Toasty.
Translation Manager,SITE_CREDITS_TRANSLATION_MANAGER,turnip; JumpmanFR,JumpmanFR,turnip; JumpmanFR
Japanese Translator,SITE_CREDITS_TRANSLATOR_JA,Altoz Tenor; K; Lone,Altoz Tenor; K; Lone,Altoz Tenor; K; Lone
French Translator,SITE_CREDITS_TRANSLATOR_FR,AFX; Cacathoès; smeskii; Anthiflo; JumpmanFR,Cacathoès; Anthiflo; JumpmanFR,AFX; Cacathoès; smeskii; Anthiflo; JumpmanFR
Italian Translator,SITE_CREDITS_TRANSLATOR_IT,SpikyG; Benz; Korenji,SpikyG; Benz; Korenji,SpikyG
Korean Translator,SITE_CREDITS_TRANSLATOR_KO,Hanlan; Pogaem; qhtjr,Hanlan; Pogaem; qhtjr,Hanlan; Pogaem; qhtjr
Spanish (Latin America) Translator,SITE_CREDITS_TRANSLATOR_ES,Halosesparta; Nawel Dots; Tessa; Vicente; Bndi,Halosesparta; Nawel Dots; Vicente; Bndi,Halosesparta; Nawel Dots; Tessa; Vicente; Bndi
Spanish (Spain) Translator,SITE_CREDITS_TRANSLATOR_ES_ES,Danionel; NoodleNiiue; Adrián Gómez,Danionel; NoodleNiiue,Danionel; NoodleNiiue; Adrián Gómez
Portuguese (Brazil) Translator,SITE_CREDITS_TRANSLATOR_PT_BR,Foffano; Olavo “olavored” R.,Foffano; Olavo “olavored” R.,Foffano; Olavo “olavored” R.
Polish Translator,SITE_CREDITS_TRANSLATOR_PL,idkwhattosayk? a.k.a. Jimmy; Majima; Voxar,idkwhattosayk? a.k.a. Jimmy; Majima; Voxar,idkwhattosayk? a.k.a. Jimmy; Majima; Voxar
German Translator,SITE_CREDITS_TRANSLATOR_DE,BetaDream~♪; Madokami,BetaDream~♪; Madokami,BetaDream~♪; Madokami
Russian Translator,SITE_CREDITS_TRANSLATOR_RU,Anasu Meruku; Mikhail “Px-Ch” Fefilov; Zakuro,Anasu Meruku; Mikhail “Px-Ch” Fefilov; Zakuro,Anasu Meruku; Mikhail “Px-Ch” Fefilov; Zakuro
Ukrainian Translator,SITE_CREDITS_TRANSLATOR_UK,Artem “Inqurity” N.; turnip,Artem “Inqurity” N.; turnip,Artem “Inqurity” N.; turnip
Chinese Translator,SITE_CREDITS_TRANSLATOR_ZH_CN,AX暗星233; kawaws66; 希铁石z; 新星派; 罗宾nick; 载•Toknyc; 绿荼不喝茶,AX暗星233; kawaws66; 希铁石z; 新星派; 罗宾nick; 载•Toknyc; 绿荼不喝茶,AX暗星233; kawaws66; 希铁石z; 新星派; 罗宾nick; 载•Toknyc; 绿荼不喝茶
Special Thanks,SITE_CREDITS_THANKS,Cherryello; 绵花糖QAQ; Jade; Jonathan Daegg123; Pastel; Porky; Snowwood a.k.a. Burger God; Tinx; Okano; 岚暮欣 ,Jade; Jonathan Daegg123; Pastel; Porky; Snowwood a.k.a. Burger God; Tinx; 岚暮欣 ,Cherryello; 绵花糖QAQ; Okano; 岚暮欣 
Manager of Fun,SITE_CREDITS_FUN,sludgeXP,sludgeXP,
