key;en;fr;it;ja;ko;es;pt_BR;pl;de;ru;uk;zh_CN
SITE_HOME_ANA_TITLE;Ana;Ana;Ana;アナ;아나;Ana;Ana;Ana;Ana;Ана;Ана;
SITE_HOME_ANA_1;A polite young girl from Snowman. She’s armed with a huge array of offensive psi attacks along with many ways to assist in battle. Since her beloved mother has gone missing, Ana will do anything to find her.;Une jeune fille très distinguée, originaire de Snowman. Elle maîtrise un grand éventail de pouvoirs PSI offensifs et possède également des compétences de soutien. Sa mère bien-aimée ayant disparu, Ana est prête à tout pour la retrouver.;Un’educata ragazzina di Snowman. È armata di un vasto arsenale di attacchi PSI e tanti modi di fornire supporto in battaglia. La sua amata mamma è scomparsa, per cui Ana farà l’impossibile per ritrovarla.;アナは スノーマンの町に住む、こころやさしい少女。戦いでは ニンテンが使えないような アブナイ強力な攻撃PSIを覚えるぞ。 行方不明になった大切なママを探すため、ニンテン達の冒険についていくことになる。 こころやさしい彼女でも みんなを守るためならば 敵に容赦はしない芯の強さも持っているんだ。;땡스기빙데이에서 온 예의 바른 소녀입니다. 순수해 보이는 눈동자 속에는 공격적인 PSI 공격으로 무장하고 있습니다. 실종된 엄마를 찾기 위해서라면 갖은 난관이 있더라도 포기하지 않을 겁니다.;Una chica educada proveniente de Snowman. Está armada con una gran variedad de ataques PSI ofensivos, además de muchas formas de ayudar en la batalla. Desde que su querida madre desapareció, hará cualquier cosa por encontrarla.;Um amor de menina que vive em Snowman. Possui um grande arsenal de ataques psíquicos ofensivos e muitas formas de ajudar em batalha. Desde que sua querida mãe desapareceu, Ana fará qualquer coisa para encontrá-la.;Uprzejma, młoda dziewczyna ze Snowman. Jest wyposażona w ogromny wachlarz ofensywnych ataków psi, a także wiele sposobów na pomoc w walce. Ponieważ jej ukochana matka zaginęła, Ana zrobi wszystko, by ją odnaleźć.;Ein höfliches junges Mädchen aus Snowman. Sie ist mit einer Vielzahl von offensiven Psi-Angriffen bewaffnet und verfügt über viele Möglichkeiten, im Kampf zu helfen. Seit ihre geliebte Mutter verschwunden ist, Ana tut alles um sie zu finden.;Вежливая девочка из города Сноумэна. Она владеет огромным набором психоатак и всегда готова выручить тебя в битве. С тех пор как её любимая мама пропала, Ана готова пойти на всё, чтобы отыскать её.;Ввічлива дівчинка з міста Сноумен. Вона має величезний набір психокінетичних атак і завжди готова виручити в бою. З того часу, як зникла її улюблена матуся, Ана готова на все, щоб її відшукати.;
SITE_HOME_ANA_2;Ana discovered her powers at a young age and has tried to repress them ever since, but when adventure calls, *she must make the decision on whether to use them.*;Ana a découvert ses pouvoirs à son plus jeune âge, et depuis, elle a toujours tenté de les réprimer. Mais quand l’aventure l’appelle, *il est peut-être temps pour elle de prendre une décision.*;Ana scoprì i suoi poteri in tenera età e da allora ha sempre cercato di reprimerli, ma quando l’avventura chiama, *deve prendere coraggio e scatenarli.*;わたしは小さいころから 自分の力を隠してきた、この力は簡単に人を傷つけられる力だから。 でも過酷な冒険に出るのなら 自分の力を隠すのをやめて、みんなのために使うことを 決意しないとね。;아나는 어린 나이에 발견한 힘을 지금껏 억누르며 살아왔지만, *이제 그 힘을 사용할지 결정을 내려야 합니다.*;Ana descubrió sus poderes a una edad temprana y ha intentado reprimirlos desde entonces, pero cuando la aventura llama, *debe decidir si usarlos o no.*;Ana descobriu seus poderes numa idade muito jovem e tentou reprimi-los desde então, mas quando a aventura chama, *ela precisa decidir se deve usá-los ou não.*;Ana odkryła swoje moce w młodym wieku i od tego czasu próbowała je stłumić, ale kiedy przygoda wzywa, *musi podjąć decyzję, czy ich użyć, czy nie.*;Ana entdeckte ihre Kraft in jungen Jahren und hat seitdem versucht sie zu unterdrücken. Aber wenn das Abenteuer ruft, *muss sie die Entscheidung treffen, ob sie sie einsetzen will.*;Ана узнала о своих способностях ещё в раннем детстве и с тех пор пытается их сдерживать — но в преддверии важного приключения *ей стоит задуматься о том, чтобы дать им волю*.;Ана дізналася про свої здібності ще в ранньому дитинстві і завжди намагалась їх стримувати — але напередодні тяжкої ​​пригоди *їй варто замислитися про те, щоб дати їм волю.*;
SITE_HOME_TEDDY_TITLE;Teddy;Teddy;Teddy;テディ;테디;Teddy;Teddy;Teddy;Teddy;Тедди;Тедді;
SITE_HOME_TEDDY_1;A knife-wielding, tobacco chewing gang leader from the big city! No enemy stands a chance against the king of the Black Bloods. Along with years of crime and fighting to back up his threatening looks, he’s never without his trusty knife on standby.;Un chef de gang de la grande ville, manieur de couteau et mâcheur de tabac ! Aucun adversaire n’a la moindre chance face au roi des Big Bads. Réputé pour son allure menaçante et les années de criminalité à son actif, il ne se sépare jamais de son fidèle couteau.;Brandisce un coltello, mastica tabacco ed è il leader di una gang della grande città. Nessun nemico può tenere testa al re dei Black Blood. Oltre ad anni di criminalità e risse per non perdere la sua aria da duro, non lo si è mai visto senza il suo fidato e impaziente coltello.;ナイフとタバコ好きな大都会のギャングのリーダー！このブラックブラッドのボスに適うものはないだろう！威圧的な見た目と長年の戦闘経験を備え、常にナイフも懐から取り出す覚悟はしている。;담배를 문 채, 칼을 휘두르고 다니는 갱단의 우두머리! 어떤 적도 이 블랙 블러드의 보스에게 상처조차 줄 수 없습니다. 위압적인 외모와 오랜 전투 경험을 갖췄으며, 언제든지 칼을 뽑을 준비를 하고 있습니다.;El jefe de una banda de la gran ciudad que masca tabaco y empuña cuchillos. No hay enemigo que se le resista al rey de los Black Blood. Además de sus años de crímenes y lucha para realzar su aspecto amenazador, nunca le puede faltar su fiel cuchillo.;Líder de gangue da cidade grande, ele carrega uma faca e vive mascando tabaco. Os inimigos não têm nenhuma chance contra o rei dos Sangue Pretos. Junto com anos de brigas e crimes para manter sua reputação intimidadora, ele nunca sai de casa sem sua fiel faca.;Uzbrojony w nóż, żujący tytoń przywódca gangu z wielkiego miasta! Żaden wróg nie ma szans z królem gangu Czarnej Krwi. Wraz z latami przestępstw i walki, aby poprzeć swój groźny wygląd, nigdy nie jest bez swojego zaufanego noża w gotowości.;Ein messerschwingender, Tabak kauender Bandeboss aus der Großstadt! Kein Feind hat eine Chance gegen den König der Black Bloods. Neben jahrelanger Verbrechens- und Kampferfahrung, die sein bedrohliches Aussehen untermauern, ist er nie ohne sein treues Messer zu finden.;Главарь банды из большого города — всегда с ножиком в руке и табаком под губой! Ни один противник не устоит перед королём банды Чернокровов! Известный своей грозной внешностью и многолетним криминальным опытом, он никогда не расставался со своим верным ножом.;Озброєний ножем та жуючий тютюн ватажок банди з великого міста! Жоден ворог не має шансів проти короля Чорнокровок. Свій загрозливий вигляд, підкріплений роками злочинів і бійок, він завжди доповнює вірним ножиком на поготові.;
SITE_HOME_TEDDY_2;Though... he wasn’t always like this. *Maybe he isn’t rotten to the core.*;Mais… il n’a pas toujours été comme ça. *Peut-être qu’il y a encore du bon en lui.*;Anche se... non è sempre stato così. *Forse non è marcio fino al midollo.*;しかし・・・彼はずっとこうだったわけではない。芯まで腐っていないかもしれない。;그래도... 늘 이랬던 사람은 아녔습니다. *속까지 썩지는 않았을 거예요.*;Aunque... no siempre fue así. *Puede que no esté podrido hasta la médula.*;Mas... ele nem sempre foi desse jeito. *Talvez, lá no fundo, ele não uma pessoa ruim.*;Chociaż... nie zawsze taki był. *Może nie jest zepsuty do szpiku kości.*;Wobei ... das war nicht immer so. *Vielleicht ist er nicht durch und durch verdorben.*;Хотя... он не всегда был таким. *Может, он не такой уж и гнилой человек*.;Хоча... не завжди таким був. *Можливо, він не настільки гнилий до кісток.*;
SITE_HOME_GALLERY;Gallery;Galerie;Galleria;ギャラリー;갤러리;Galería;Galeria;Galeria;Gallerie;Галерея;Галерея;
SITE_HOME_FEATURE_1;New battle system
SITE_HOME_FEATURE_2;New graphics 
SITE_HOME_FEATURE_3;New story
SITE_HOME_FEATURE_4;New mechanics
SITE_HOME_FEATURE_5;New overworld and dungeons
SITE_HOME_FEATURE_6;New soundtrack
SITE_HOME_FEATURE_7;"And available in:
French, 
Italian, 
Korean, 
American, 
Spanish, 
Spain Spanish, 
Brazilian Portuguese, 
Polish, 
German, 
Russian, 
Ukrainian, 
Japanese and Chinese coming soon!"
